slug	title	score	max_score	pass_rate	status	notes
jet-lag-drill	Jet Lag Drill Sergeant	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
interview-anxiety	Interview Anxiety Meter	4	5	80.0%	rejected	Too close to existing interview-panic build.
slack-subtext	Slack Subtext Decoder	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
meeting-escape	Meeting Escape Artist	4	5	80.0%	rejected	Too close to existing meeting-hostage-negotiator and awkward-exit patterns.
deadline-dread	Deadline Dread Timer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
flirt-style-decoder	Flirt Style Decoder	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
crush-calculator	Crush Probability Calculator	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
friendzone-gps	Friendzone GPS	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
ex-photo-audit	Ex Photo Folder Audit	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
love-language-diagnostic	Love Language Diagnostic	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
wedding-budget-grief	Wedding Budget Grief Counselor	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
thriving-single	Thriving Single Score	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
sleep-shame-spiral	Sleep Schedule Shame Spiral	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
workout-excuse-bingo	Workout Excuse Bingo	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
posture-police	Posture Police	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
hydration-bully	Hydration Bully	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
screen-time-confessional	Screen Time Confessional	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
step-honesty	Step Honesty Counter	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
desk-stretch-sergeant	Desk Stretch Sergeant	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
breathing-critic	Breathing Critic	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
heart-rate-dramatist	Heart Rate Dramatist	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
stress-face-scanner	Stress Face Scanner	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
cleaning-hype-coach	Cleaning Hype Coach	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
junk-drawer-oracle	Junk Drawer Oracle	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
laundry-delay	Laundry Delay Justifier	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
cursed-substituter	Cursed Ingredient Substituter	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
roommate-formalizer	Roommate Complaint Formalizer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
neighbor-noise-court	Neighbor Noise Court	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
rent-rationalization	Rent Rationalization Engine	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
moving-day-trauma	Moving Day Trauma Log	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
interior-design-roast	Interior Design Roast	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
diy-disaster-predictor	DIY Disaster Predictor	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
homework-procras-timer	Homework Procrastination Timer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
exam-panic-sim	Exam Panic Simulator	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
teachers-pet-id	Teacher's Pet Identifier	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
filler-word-counter	Filler Word Counter	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
group-blame-allocator	Group Project Blame Allocator	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
final-grade-crier	Final Exam Grade Calculator	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
smart-question-faker	Smart Question Faker	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
highlight-overkill	Highlight Overkill Analyzer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
lecture-time-translator	Lecture Time Translator	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
late-class-navigator	Late for Class Navigator	3	5	60.0%	rejected	Weak shareable output and mixed feasibility for a routing-style concept.
spoiler-roulette	Spoiler Roulette	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
watch-history-roaster	Watch History Roaster	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
book-club-bluffer	Book Club Bluffer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
game-rage-counselor	Game Rage Counselor	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
puzzle-iq-timer	Puzzle IQ Timer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
overconfidence-gap	Overconfidence Gap Meter	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
meme-expiration	Meme Expiration Detector	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
podcast-speed-shamer	Podcast Speed Shamer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
streaming-paralysis	Streaming Paralysis Timer	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
one-more-episode	One More Episode Enabler	5	5	100.0%	approved	Passes current autoresearch gate for single-file, screenshot-friendly build.
